City,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description
Surat,2011-04-01,32.7,21.1,27.1,33.4,21.1,27.9,19.1,62.6,26.3,271,1010.9,0,4,2011-04-01 06:32:20,2011-04-01 18:53:18,0.99,Clear,Clear conditions throughout the day.
Surat,2011-04-02,32.4,25,27.1,34.7,25,27.8,21.3,71.7,25.6,250.3,1010.3,0,3.5,2011-04-02 06:31:25,2011-04-02 18:53:36,1,Clear,Clear conditions throughout the day.
Surat,2011-04-03,31.7,23.4,27,32.9,23.4,27.4,19.7,66.1,22.3,261.9,1010.5,0,4,2011-04-03 06:30:32,2011-04-03 18:53:55,1,Clear,Clear conditions throughout the day.
Surat,2011-04-04,35.9,20.1,27.5,33.4,20.1,27.3,16.1,54.6,20.5,231.2,1010.1,0,4,2011-04-04 06:29:38,2011-04-04 18:54:13,0,Clear,Clear conditions throughout the day.
Surat,2011-04-05,35.4,21.2,28.4,34,21.2,28.4,17,52.7,22.7,226,1010,2.4,4,2011-04-05 06:28:45,2011-04-05 18:54:32,0.02,Clear,Clear conditions throughout the day.
Surat,2011-04-06,35.7,21.9,28.5,39.2,21.9,29.5,19.1,58.5,18.4,188.3,1009.6,8.9,3.8,2011-04-06 06:27:52,2011-04-06 18:54:51,0.04,Clear,Clear conditions throughout the day.
Surat,2011-04-07,32.4,25.2,27.6,37.4,25.2,29.6,22.8,75.6,20.9,216,1010.4,40.9,3.8,2011-04-07 06:26:59,2011-04-07 18:55:09,0.07,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-04-08,33.2,24.1,27.6,35,24.1,28.9,22.2,74.3,22.7,235.7,1011.2,9.1,3.8,2011-04-08 06:26:06,2011-04-08 18:55:28,0.1,Clear,Clear conditions throughout the day.
Surat,2011-04-09,34.7,23.4,27.6,41.9,23.4,29.1,22.3,74.4,22.7,239.2,1011.1,2.5,3.5,2011-04-09 06:25:14,2011-04-09 18:55:47,0.14,Clear,Clear conditions throughout the day.
Surat,2011-04-10,35.1,23.1,27.9,42.2,23.1,29.6,22.5,74,24.1,245,1011.1,7.7,5.3,2011-04-10 06:24:23,2011-04-10 18:56:07,0.2,Clear,Clear conditions throughout the day.
Surat,2011-04-11,35.2,23.7,28.4,37.9,23.7,30,21.1,65.9,24.1,267.8,1011,1.5,4,2011-04-11 06:23:31,2011-04-11 18:56:26,0.25,Clear,Clear conditions throughout the day.
Surat,2011-04-12,38.1,24.4,29.7,40,24.4,31.9,21.4,63.3,20.2,260,1009.8,23.2,3.8,2011-04-12 06:22:40,2011-04-12 18:56:45,0.31,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-04-13,37.7,26.6,29.7,38,26.6,31.8,20.9,61.3,27.7,276.6,1009.5,6.3,4,2011-04-13 06:21:50,2011-04-13 18:57:05,0.36,Clear,Clear conditions throughout the day.
Surat,2011-04-14,37.2,25.9,29.8,42.9,25.9,33,22.5,66.3,26.6,277.4,1008.3,21.3,3.8,2011-04-14 06:21:00,2011-04-14 18:57:25,0.41,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-04-15,32.7,25.1,29.1,40.2,25.1,32.9,23.3,71.4,25.2,259.1,1008,37.3,4,2011-04-15 06:20:10,2011-04-15 18:57:45,0.45,Partially cloudy,Partly cloudy throughout the day.
Surat,2011-04-16,34.4,25.1,29,43.8,25.1,33,23.8,74.3,26.3,250.6,1009.1,10.8,4,2011-04-16 06:19:21,2011-04-16 18:58:05,0.48,Clear,Clear conditions throughout the day.
Surat,2011-04-17,36.7,25.2,29.5,38.8,25.2,33.2,23.3,71.1,25.9,244.2,1009.5,8.4,3.8,2011-04-17 06:18:33,2011-04-17 18:58:25,0.5,Clear,Clear conditions throughout the day.
